baseline,corrupted_baseline,requested_edges,edges,faithfulness
3.875,0.01593017578125,0,0,0.016876220703125
3.875,0.01593017578125,1,1,0.016754150390625
3.875,0.01593017578125,2,2,0.01450347900390625
3.875,0.01593017578125,3,3,0.252197265625
3.875,0.01593017578125,3,3,0.252197265625
3.875,0.01593017578125,4,4,0.2337646484375
3.875,0.01593017578125,5,5,0.34375
3.875,0.01593017578125,6,6,0.38720703125
3.875,0.01593017578125,7,7,0.433349609375
3.875,0.01593017578125,7,7,0.433349609375
3.875,0.01593017578125,8,8,0.4423828125
3.875,0.01593017578125,9,9,0.35693359375
3.875,0.01593017578125,10,10,0.369384765625
3.875,0.01593017578125,11,11,0.38232421875
3.875,0.01593017578125,12,12,0.56298828125
3.875,0.01593017578125,13,13,0.5908203125
3.875,0.01593017578125,14,14,0.350830078125
3.875,0.01593017578125,15,15,0.4150390625
3.875,0.01593017578125,30,30,0.5908203125
3.875,0.01593017578125,45,45,2.240234375
3.875,0.01593017578125,60,60,2.796875
3.875,0.01593017578125,63,63,2.8671875
3.875,0.01593017578125,66,66,2.91796875
3.875,0.01593017578125,69,69,3.1484375
3.875,0.01593017578125,72,72,3.216796875
3.875,0.01593017578125,75,75,3.25390625
3.875,0.01593017578125,75,75,3.25390625
3.875,0.01593017578125,78,78,3.24609375
3.875,0.01593017578125,81,81,3.30078125
3.875,0.01593017578125,84,84,3.611328125
3.875,0.01593017578125,87,87,3.826171875
3.875,0.01593017578125,90,90,3.84375
3.875,0.01593017578125,90,90,3.84375
